Roll,Name,Branch,E-mail id
2001CB11,Casi Duffy,CB,cduffya@newsvine.com
2001CB12,Kirstyn Antognelli,CB,kantognellib@123-reg.co.uk
2001CB13,Aleksandr Edelmann,CB,aedelmannc@arizona.edu
2001CB14,Giovanna Dougliss,CB,gdouglissd@woothemes.com
2001CB15,Diann Ker,CB,dkere@ycombinator.com
2001CE11,Aaron Zanicchelli,CE,azanicchelli22@zimbio.com
2001CE12,Reiko Degg,CE,rdegg23@vinaora.com
2001CE13,Beret Pratley,CE,bpratley24@angelfire.com
2001CE14,Olav Aaron,CE,oaaron25@com.com
2001CE15,Storm Mays,CE,smays26@pbs.org
2001CS13,Chery Grint,CS,cgrint3y@shareasale.com
2001CS14,Colet Hicklingbottom,CS,chicklingbottom3z@tinypic.com
2001CS15,Desirae Shipman,CS,dshipman40@ft.com
2001CS16,Laure Kenna,CS,lkenna41@ucoz.ru
2001CS17,Jerrie Allred,CS,jallred42@taobao.com
2001CS18,Ricky Pikhno,CS,rpikhno43@gov.uk
2001EE13,Priscilla Gatheral,EE,pgatheral67@linkedin.com
2001EE14,Morgen Vater,EE,mvater68@nhs.uk
2001EE15,Saundra Lehr,EE,slehr69@lulu.com
2001EE16,Daisi Beardsley,EE,dbeardsley6a@soundcloud.com
2001EE17,Patten Gunderson,EE,pgunderson6b@weebly.com
2001EE18,Parrnell D'Antuoni,EE,pdantuoni6c@cmu.edu
2001ME13,Franzen Andrioletti,ME,fandrioletti8i@vk.com
2001ME14,Darcey Labusquiere,ME,dlabusquiere8j@engadget.com
2001ME15,Candis Mossom,ME,cmossom8k@wsj.com
2001ME16,Lyndsey Peddar,ME,lpeddar8l@google.fr
2001ME17,Hercule Pywell,ME,hpywell8m@ucsd.edu
2001ME18,Dolorita Cullinane,ME,dcullinane8n@admin.ch
2001MM07,Carroll Benkhe,MM,cbenkhean@kickstarter.com
2001MM08,Roseline Appleby,MM,rapplebyao@cmu.edu
2001MM09,Ashlin Scamaden,MM,ascamadenap@bluehost.com
2001CB63,Evan Kantor,CB,ekantor1q@bigcartel.com
2001CS77,Karalynn Tole,CS,ktole5q@twitpic.com
2001EE80,Dominic Celier,EE,dcelier82@gizmodo.com
2001ME81,Joete Hinkley,ME,jhinkleyae@cnn.com
